"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MPN","Manufacturer"
"C1","1","100uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","EEUFR1E101","Panasonic"
"C2","1","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","TCC0603X7R104K250CT","CCTC"
"C3,C4","2","10uF","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","","GRM32ER71H106KA12L","Murata"
"C5,C9","2","100nF","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","CCTC TCC1210X7R106K500MT","TCC0603X7R104K250CT","CCTC"
"C6,C7,C8","3","22uF","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","CCTC TCC1210X7R106K500MT","GRT21BR61E226ME13L","Murata"
"C10","1","1uF","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","CCTC TCC1210X7R106K500MT","TCC0603X7R105K250CT","CCTC"
"F1","1","T4A","","","","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","","FS-52GT-4.0/250","Conquer"
"J1","1","+12V IN","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","","DG127-5.0-02P-14-00Z(H)","Degson"
"J2","1","LAMPS_OUT","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal","","DG308-2.54-05P-14-00ZH","Degson"
"J3","1","USB-B1HSB6","","","","Vendor:OST_USB-B1HSB6","","USBB-1J-W","NXU"
"J4","1","OLED AND BUTTONS","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","","PBS-40","KLS"
"J5","1","SERVICE_PINS","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","","PLS-40","KLS"
"L1","1","10uH","","","","Vendor:IND_CDRH6D28NP-100NC_SUM","CDRH6D28NP-100NC","CDRH6D28NP-100NC","Sumida"
"LED1","1","WS2812B","","","","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","","WS2812B-V5","Worldsemi"
"Q1,Q2,Q3,Q4","4","AOD4184A","","","","Vendor:TO252_AOS","AOD4184A","AOD4184A","Alpha & Omega (AOS)"
"Q5","1","AOD4185","","","","Vendor:TO252_AOS","AOD4185","AOD4185","Alpha & Omega (AOS)"
"R1,R2,Rpd1,Rpd2,Rpd3,Rpd4","6","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","ERJP06F1003V","Panasonic"
"R3","1","22k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","RC0805JR-0722KL","Yageo"
"R4,R8,R9,R10","4","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","ERJ6ENF1002V","Panasonic"
"R5,R6","2","0R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","",""
"R7,Rg1,Rg2,Rg3,Rg4","5","100R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","RT0805BRD07100RL","Yageo"
"SW1","1","RESET","","","","Vendor:SW4_1825910-F_TEC","","1-1825910-0","TE"
"SW2","1","BOOT","","","","Vendor:SW4_1825910-F_TEC","","1-1825910-0","TE"
"U1","1","ESP32-C6","","","","Vendor:XCVR_ESP32-C6-WROOM-1-N8","","ESP32-C6-WROOM-1-N16","Espressif"
"U2","1","TPS54202DDC","","","","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/tps54202.pdf","TPS54202DDCR","Texas Instruments"
"U3","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","USBLC6-2SC6","YouTai"
