Designator,Mid X,Mid Y,Layer,Rotation
C1,164.9000,-86.2000,Top,0.0
C2,174.3000,-83.6500,Top,90.0
C3,189.2500,-79.9500,Top,90.0
C4,192.9500,-79.9500,Top,90.0
C5,198.4000,-76.8000,Top,180.0
C6,205.0500,-87.2500,Top,180.0
C7,205.0500,-83.7500,Top,180.0
C8,226.9500,-89.7000,Top,0.0
C9,227.5500,-92.7000,Top,0.0
C10,222.1500,-92.2500,Top,0.0
C11,154.2000,-77.2000,Top,180.0
D1,212.0000,-75.2000,Top,0.0
D2,131.9000,-89.2500,Top,-90.0
D3,131.9000,-98.9000,Top,-90.0
D4,131.9000,-108.5000,Top,-90.0
D5,131.9000,-118.0000,Top,-90.0
D6,171.2000,-83.5000,Top,180.0
J1,177.9000,-75.4400,Top,180.0
J2,135.9965,-85.7860,Top,-90.0
J3,136.0389,-95.3907,Top,-90.0
J4,217.6400,-119.4000,Top,-90.0
J5,136.0389,-104.9953,Top,-90.0
J6,136.1000,-114.6000,Top,-90.0
J7,164.7000,-76.9750,Top,180.0
J8,179.7400,-119.3150,Top,-90.0
L1,197.8579,-86.6500,Top,180.0
Q1,145.3533,-87.2860,Top,90.0
Q2,145.3533,-96.9527,Top,90.0
Q3,145.3533,-106.6193,Top,90.0
Q4,145.3533,-116.2860,Top,90.0
R1,163.8000,-83.0000,Top,90.0
R2,174.4000,-94.3000,Top,90.0
R3,175.5000,-90.3000,Top,0.0
R4,201.3500,-77.8500,Top,-90.0
R5,202.2500,-80.8500,Top,180.0
R6,222.2000,-90.2000,Top,0.0
R7,210.4500,-92.7000,Top,0.0
R8,214.5000,-92.7000,Top,0.0
R9,172.0000,-87.4000,Top,-90.0
R10,205.2250,-116.3750,Top,180.0
R11,209.6250,-116.3500,Top,180.0
R12,212.0000,-79.4000,Top,180.0
R13,135.3000,-90.2500,Top,0.0
R14,135.3000,-99.9000,Top,0.0
R15,135.3000,-109.5000,Top,0.0
R16,135.3000,-119.0000,Top,0.0
R17,168.2000,-81.1000,Top,90.0
Rg1,155.3000,-89.6000,Top,0.0
Rg2,155.3000,-99.1000,Top,0.0
Rg3,155.3000,-108.8000,Top,0.0
Rg4,155.3000,-118.4000,Top,0.0
Rpd1,154.3000,-86.0000,Top,90.0
Rpd2,154.3000,-95.7000,Top,90.0
Rpd3,154.3000,-105.4000,Top,90.0
Rpd4,154.3000,-115.0000,Top,90.0
SW1,191.0000,-104.1000,Top,180.0
SW2,191.0000,-115.6500,Top,180.0
U1,223.7600,-104.5500,Top,-90.0
U2,197.4500,-79.9500,Top,0.0
U3,167.0000,-90.6350,Top,0.0
U4,177.9000,-84.6000,Top,-90.0
